run_id,lineAvailability,unplannedDowntimeCount,unplannedDowntimeMinutes,avgCycleMinutes,changeoverEventCount,wipPeak,rippleEffectMinutes,failurePredictionLeadTime,maintenanceCost,plannedMaintMinutes,completedCount
1,1.000000,0,0.00,63.7827,136,104,0.00,0.0000,0.00,0.00,953
2,1.000000,0,0.00,63.3854,123,83,0.00,0.0000,13432.61,5373.04,909
3,1.000000,0,0.00,62.3217,113,79,0.00,0.0000,9204.07,3681.63,961
4,1.000000,0,0.00,63.6805,135,88,0.00,0.0000,0.00,0.00,957
5,1.000000,0,0.00,64.1174,147,99,0.00,0.0000,0.00,0.00,968
6,1.000000,0,0.00,64.8665,159,120,0.00,0.0000,0.00,0.00,947
7,1.000000,0,0.00,64.7921,178,129,0.00,0.0000,0.00,0.00,992
8,1.000000,0,0.00,64.9052,138,99,0.00,0.0000,0.00,0.00,972
9,1.000000,0,0.00,64.7415,156,125,0.00,0.0000,0.00,0.00,941
10,1.000000,0,0.00,63.6415,119,79,0.00,0.0000,17736.42,7094.57,917
11,1.000000,0,0.00,64.0383,159,110,0.00,0.0000,0.00,0.00,930
12,1.000000,0,0.00,62.1179,107,74,0.00,0.0000,2906.33,1162.53,959
13,1.000000,0,0.00,64.5927,157,124,0.00,0.0000,0.00,0.00,966
14,1.000000,0,0.00,62.7572,133,82,0.00,0.0000,0.00,0.00,944
15,1.000000,0,0.00,62.9478,139,104,0.00,0.0000,12408.83,4963.53,986
16,1.000000,0,0.00,63.7099,144,107,0.00,0.0000,0.00,0.00,994
17,1.000000,0,0.00,63.0141,122,84,0.00,0.0000,10735.63,4294.25,940
18,1.000000,0,0.00,64.3136,158,105,0.00,0.0000,0.00,0.00,979
19,1.000000,0,0.00,63.7883,131,100,0.00,0.0000,0.00,0.00,947
20,1.000000,0,0.00,63.9359,140,109,0.00,0.0000,0.00,0.00,939
21,1.000000,0,0.00,64.6481,160,114,0.00,0.0000,0.00,0.00,950
22,1.000000,0,0.00,66.3745,161,125,0.00,0.0000,0.00,0.00,941
23,1.000000,0,0.00,65.7117,171,127,0.00,0.0000,0.00,0.00,938
24,1.000000,0,0.00,64.9482,147,108,0.00,0.0000,12460.55,4984.22,894
25,1.000000,0,0.00,64.0663,138,97,0.00,0.0000,0.00,0.00,937
26,1.000000,0,0.00,62.7991,126,92,0.00,0.0000,0.00,0.00,1002
27,1.000000,0,0.00,63.0543,122,82,0.00,0.0000,0.00,0.00,943
28,1.000000,0,0.00,63.9520,143,91,0.00,0.0000,14118.98,5647.59,984
29,1.000000,0,0.00,63.7590,151,108,0.00,0.0000,0.00,0.00,987
30,1.000000,0,0.00,63.1591,120,76,0.00,0.0000,0.00,0.00,947
31,1.000000,0,0.00,63.5708,131,88,0.00,0.0000,0.00,0.00,984
32,1.000000,0,0.00,63.0489,138,96,0.00,0.0000,13956.59,5582.64,927
33,1.000000,0,0.00,64.0383,142,105,0.00,0.0000,0.00,0.00,961
34,1.000000,0,0.00,64.1483,158,101,0.00,0.0000,6043.56,2417.42,952
35,1.000000,0,0.00,63.3841,135,86,0.00,0.0000,0.00,0.00,939
36,1.000000,0,0.00,66.6832,202,137,0.00,0.0000,0.00,0.00,961
37,1.000000,0,0.00,64.2074,126,92,0.00,0.0000,5106.19,2042.48,935
38,1.000000,0,0.00,62.6675,130,86,0.00,0.0000,13422.64,5369.06,922
