run_id,lineAvailability,unplannedDowntimeCount,unplannedDowntimeMinutes,avgCycleMinutes,changeoverEventCount,wipPeak,rippleEffectMinutes,failurePredictionLeadTime,maintenanceCost,plannedMaintMinutes,completedCount
1,1.000000,0,0.00,63.7827,136,104,0.00,0.0000,28835.48,11534.19,953
2,1.000000,0,0.00,62.9747,113,75,0.00,1.5130,21623.03,8649.21,914
3,0.999133,4,786.58,63.1476,138,101,74.70,8.4899,56580.84,8646.94,941
4,1.000000,0,0.00,63.6805,135,88,0.00,0.0000,28820.59,11528.24,957
5,1.000000,0,0.00,64.1174,147,99,0.00,0.0000,28828.56,11531.42,968
6,1.000000,0,0.00,64.1695,153,109,0.00,0.0000,28826.68,11530.67,964
7,1.000000,0,0.00,64.7921,178,129,0.00,0.0000,28818.69,11527.48,992
8,1.000000,0,0.00,64.9052,138,99,0.00,0.0000,28831.67,11532.67,972
9,1.000000,0,0.00,64.7415,156,125,0.00,0.0000,28808.07,11523.23,941
10,1.000000,0,0.00,63.4997,135,103,0.00,29.4403,28817.08,11526.83,935
11,1.000000,0,0.00,64.0383,159,110,0.00,0.0000,21624.32,8649.73,930
12,1.000000,0,0.00,63.6543,140,111,0.00,8.5769,28819.44,11527.78,936
13,1.000000,0,0.00,64.5927,157,124,0.00,0.0000,28815.50,11526.20,966
14,1.000000,0,0.00,62.7572,133,82,0.00,0.0000,28826.57,11530.63,944
15,1.000000,0,0.00,62.8863,130,102,0.00,51.9343,28831.87,11532.75,960
16,1.000000,0,0.00,63.7304,144,106,0.00,0.0000,28819.04,11527.62,980
17,0.999265,4,666.34,63.0422,122,83,55.52,1.7867,58437.26,11527.36,945
18,1.000000,0,0.00,64.3136,158,105,0.00,0.0000,28829.65,11531.86,979
19,1.000000,0,0.00,63.7883,131,100,0.00,0.0000,28826.55,11530.62,947
20,1.000000,0,0.00,63.9359,140,109,0.00,0.0000,28816.34,11526.54,939
21,1.000000,0,0.00,64.6481,160,114,0.00,0.0000,28829.49,11531.80,950
22,1.000000,0,0.00,66.3745,161,125,0.00,0.0000,28827.78,11531.11,941
23,1.000000,0,0.00,65.0194,161,119,0.00,0.0000,28826.28,11530.51,950
24,1.000000,0,0.00,65.7110,165,126,0.00,6.2845,21614.50,8645.80,906
25,1.000000,0,0.00,64.0151,137,98,0.00,6.4181,28827.47,11530.99,942
26,1.000000,0,0.00,62.7991,126,92,0.00,0.0000,28827.90,11531.16,1002
27,1.000000,0,0.00,63.0543,122,82,0.00,0.0000,28817.56,11527.03,943
28,1.000000,0,0.00,64.3143,145,94,0.00,5.4762,28819.02,11527.61,968
29,1.000000,0,0.00,63.7590,151,108,0.00,0.0000,28816.93,11526.77,987
30,1.000000,0,0.00,63.1591,120,76,0.00,0.0000,28818.89,11527.56,947
31,1.000000,0,0.00,63.5708,131,88,0.00,0.0000,28820.91,11528.36,984
32,1.000000,0,0.00,63.0824,140,99,0.00,54.8813,28828.17,11531.27,933
33,1.000000,0,0.00,64.0383,142,105,0.00,0.0000,28821.46,11528.59,961
34,1.000000,0,0.00,64.4082,165,108,0.00,14.5849,28818.07,11527.23,936
35,1.000000,0,0.00,63.3841,135,86,0.00,0.0000,28834.13,11533.65,939
36,1.000000,0,0.00,66.6832,202,137,0.00,0.0000,28841.60,11536.64,961
37,0.998600,7,1270.38,65.3350,163,121,181.35,4.5230,70885.21,5766.69,915
38,1.000000,0,0.00,62.9371,136,84,0.00,19.6715,28829.29,11531.72,933
39,1.000000,0,0.00,63.4975,147,106,0.00,0.0000,28826.56,11530.62,994
40,1.000000,0,0.00,64.2877,141,103,0.00,12.1065,21620.69,8648.28,915
41,1.000000,0,0.00,63.1353,131,89,0.00,20.3449,28825.45,11530.18,954
42,1.000000,0,0.00,64.7553,166,118,0.00,0.0000,28831.47,11532.59,956
43,1.000000,0,0.00,63.3405,137,107,0.00,0.0000,28824.09,11529.63,937
44,1.000000,0,0.00,63.4671,146,90,0.00,0.0000,28838.33,11535.33,997
45,1.000000,0,0.00,63.0241,129,82,0.00,0.0000,28824.66,11529.86,931
46,1.000000,0,0.00,62.8362,123,90,0.00,0.0000,21612.99,8645.19,920
47,1.000000,0,0.00,63.9444,147,112,0.00,0.0000,28810.12,11524.05,955
48,1.000000,0,0.00,64.6888,157,111,0.00,0.0000,28833.43,11533.37,981
49,1.000000,0,0.00,65.1378,159,117,0.00,0.0000,28821.34,11528.54,940
50,1.000000,0,0.00,63.0288,135,88,0.00,26.2816,28831.27,11532.51,964
51,1.000000,0,0.00,64.0774,161,111,0.00,0.0000,28838.50,11535.40,981
52,1.000000,0,0.00,63.3461,133,96,0.00,0.0000,21617.88,8647.15,930
53,1.000000,0,0.00,62.6239,124,89,0.00,0.0000,28822.76,11529.10,931
54,1.000000,0,0.00,65.0013,149,109,0.00,51.3113,28819.02,11527.61,962
55,1.000000,0,0.00,63.9454,145,93,0.00,0.0000,28829.43,11531.77,984
56,1.000000,0,0.00,64.0713,135,95,0.00,0.0000,28830.05,11532.02,939
57,1.000000,0,0.00,63.9086,144,96,0.00,5.5149,28834.77,11533.91,968
58,1.000000,0,0.00,63.5037,154,107,0.00,0.0000,28830.10,11532.04,946
59,1.000000,0,0.00,63.3447,141,91,0.00,0.0000,28815.70,11526.28,978
60,1.000000,0,0.00,65.0687,150,114,0.00,0.0000,28822.68,11529.07,947
61,1.000000,0,0.00,62.8351,121,86,0.00,0.0000,28824.92,11529.97,941
62,0.999621,2,343.97,64.7106,172,140,63.83,6.1724,36903.60,8645.69,989
63,1.000000,0,0.00,63.8142,154,107,0.00,20.3126,28835.80,11534.32,983
64,1.000000,0,0.00,62.2099,110,71,0.00,45.9062,28825.97,11530.39,967
65,1.000000,0,0.00,62.9298,118,89,0.00,0.0000,28822.59,11529.03,946
66,1.000000,0,0.00,63.5586,126,70,0.00,0.0000,21621.55,8648.62,919
67,1.000000,0,0.00,64.3498,168,127,0.00,45.3713,28837.96,11535.18,986
68,0.999156,4,765.24,65.7980,159,116,5.34,1.2080,55635.53,8648.22,924
69,1.000000,0,0.00,64.6604,142,103,0.00,31.6480,21626.30,8650.52,918
70,1.000000,0,0.00,64.0526,136,98,0.00,53.4219,28819.16,11527.66,932
71,1.000000,0,0.00,64.7271,166,111,0.00,0.0000,28815.62,11526.25,965
72,1.000000,0,0.00,63.1947,118,87,0.00,0.0000,28823.82,11529.53,952
73,1.000000,0,0.00,63.1115,123,95,0.00,9.6878,28828.94,11531.58,951
74,1.000000,0,0.00,64.8996,175,131,0.00,0.0000,28826.94,11530.78,999
75,1.000000,0,0.00,64.6137,141,97,0.00,0.0000,21613.00,8645.20,913
76,1.000000,0,0.00,63.3781,132,76,0.00,0.0000,28809.51,11523.81,937
77,1.000000,0,0.00,63.9043,166,115,0.00,0.0000,28835.13,11534.05,992
78,0.999149,4,771.80,65.0037,155,116,31.85,5.3787,55923.26,8646.76,968
79,1.000000,0,0.00,63.5496,136,95,0.00,0.0000,28833.02,11533.21,931
80,1.000000,0,0.00,63.8553,146,101,0.00,0.0000,21617.40,8646.96,923
81,1.000000,0,0.00,63.9150,143,112,0.00,0.0000,28827.60,11531.04,975
82,0.999037,3,873.94,63.6203,138,93,43.59,48.5406,53253.68,5762.81,925
83,1.000000,0,0.00,63.8868,130,88,0.00,0.0000,21623.89,8649.56,902
84,1.000000,0,0.00,62.9645,125,79,0.00,45.1703,28840.40,11536.16,958
85,1.000000,0,0.00,64.3311,152,107,0.00,34.5854,28836.67,11534.67,943
86,1.000000,0,0.00,63.6105,142,108,0.00,0.0000,28826.48,11530.59,939
87,1.000000,0,0.00,63.5179,148,98,0.00,0.0000,28828.16,11531.26,972
88,1.000000,0,0.00,63.8511,143,103,0.00,0.0000,28819.61,11527.84,961
89,1.000000,0,0.00,62.0997,111,80,0.00,6.6642,21615.67,8646.27,919
90,0.999698,2,273.67,65.3295,157,110,47.67,0.2360,40993.28,11531.54,952
91,1.000000,0,0.00,62.8015,132,87,0.00,0.0000,28829.86,11531.94,958
92,1.000000,0,0.00,62.2252,122,73,0.00,0.0000,28814.63,11525.85,961
93,1.000000,0,0.00,63.3033,131,95,0.00,0.0000,28817.47,11526.99,936
94,1.000000,0,0.00,63.5656,142,102,0.00,48.6040,21621.71,8648.68,937
95,1.000000,0,0.00,64.7596,174,123,0.00,0.0000,28824.03,11529.61,953
96,0.999145,4,775.99,64.4153,147,109,87.92,18.8722,56106.95,8645.61,934
97,0.998424,8,1430.15,62.8286,135,88,19.85,17.5439,85182.59,8644.95,992
98,1.000000,0,0.00,63.8266,155,92,0.00,52.8126,28824.04,11529.62,979
99,1.000000,0,0.00,64.3497,159,110,0.00,0.0000,28827.63,11531.05,965
100,1.000000,0,0.00,62.8531,123,93,0.00,0.0000,28829.73,11531.89,942
101,1.000000,0,0.00,64.0769,145,112,0.00,0.0000,28833.57,11533.43,921
102,1.000000,0,0.00,62.1552,104,72,0.00,0.0000,28847.72,11539.09,982
103,1.000000,0,0.00,64.4005,157,119,0.00,0.0000,28834.60,11533.84,972
104,1.000000,0,0.00,62.5725,125,81,0.00,15.4846,28812.12,11524.85,993
105,1.000000,0,0.00,62.9396,122,82,0.00,0.0000,28826.50,11530.60,935
106,1.000000,0,0.00,64.0997,142,105,0.00,63.8957,28826.98,11530.79,970
107,1.000000,0,0.00,63.5997,131,89,0.00,32.1519,28835.51,11534.20,988
108,1.000000,0,0.00,63.0489,129,89,0.00,68.0554,28833.90,11533.56,972
109,1.000000,0,0.00,65.6468,173,125,0.00,0.0000,28818.68,11527.47,937
110,1.000000,0,0.00,63.8795,155,99,0.00,0.0000,21611.38,8644.55,907
111,1.000000,0,0.00,64.3169,156,123,0.00,0.0000,21615.25,8646.10,904
112,1.000000,0,0.00,62.4863,106,72,0.00,0.0000,28809.08,11523.63,943
113,1.000000,0,0.00,65.0163,153,117,0.00,0.0000,28825.71,11530.28,921
114,1.000000,0,0.00,63.4882,135,87,0.00,0.0000,28830.40,11532.16,934
115,1.000000,0,0.00,63.4896,130,98,0.00,0.0000,28822.18,11528.87,954
116,1.000000,0,0.00,65.8944,147,105,0.00,0.0000,28828.52,11531.41,927
117,1.000000,0,0.00,63.7063,139,99,0.00,0.0000,28824.75,11529.90,957
118,1.000000,0,0.00,63.1896,130,87,0.00,18.7984,28817.93,11527.17,959
119,1.000000,0,0.00,63.4929,128,90,0.00,0.0000,21615.24,8646.10,924
120,1.000000,0,0.00,63.1815,140,95,0.00,32.8229,28821.88,11528.75,996
121,1.000000,0,0.00,63.7820,140,102,0.00,23.1390,28838.45,11535.38,952
122,1.000000,0,0.00,64.7321,158,107,0.00,0.0000,28829.98,11531.99,957
123,1.000000,0,0.00,63.6404,141,107,0.00,0.0000,21619.43,8647.77,927
124,1.000000,0,0.00,63.5656,123,91,0.00,0.0000,21618.66,8647.46,920
125,0.998804,6,1085.02,63.5397,138,88,19.74,1.2131,77058.76,11531.91,1003
126,1.000000,0,0.00,63.4687,144,107,0.00,49.0468,28839.42,11535.77,977
127,1.000000,0,0.00,65.1749,171,123,0.00,70.6413,28815.61,11526.24,938
128,1.000000,0,0.00,64.4529,147,101,0.00,0.0000,21619.69,8647.88,932
129,1.000000,0,0.00,65.3412,162,118,0.00,0.0000,21616.74,8646.70,924
130,1.000000,0,0.00,66.5357,184,134,0.00,52.2251,28828.25,11531.30,991
131,1.000000,0,0.00,63.2197,140,91,0.00,20.3087,28817.18,11526.87,949
132,1.000000,0,0.00,63.0877,127,81,0.00,0.0000,28829.91,11531.96,957
133,1.000000,0,0.00,63.1314,144,100,0.00,60.3031,28816.35,11526.54,970
134,1.000000,0,0.00,66.8108,169,123,0.00,0.0000,21618.66,8647.46,914
135,1.000000,0,0.00,63.5168,145,99,0.00,0.0000,28828.51,11531.41,1029
136,1.000000,0,0.00,64.4137,147,102,0.00,0.0000,28810.13,11524.05,955
137,1.000000,0,0.00,63.0980,151,93,0.00,55.0290,28838.55,11535.42,1018
138,1.000000,0,0.00,64.1838,151,105,0.00,65.0207,28824.12,11529.65,941
139,1.000000,0,0.00,63.1740,150,101,0.00,16.1019,28824.77,11529.91,1010
140,1.000000,0,0.00,63.0721,126,90,0.00,0.0000,28832.49,11533.00,981
141,1.000000,0,0.00,63.7124,151,105,0.00,18.7596,28822.24,11528.90,997
142,1.000000,0,0.00,64.1953,135,99,0.00,0.0000,28825.70,11530.28,938
143,1.000000,0,0.00,63.6580,147,97,0.00,19.3822,28839.35,11535.74,954
144,1.000000,0,0.00,63.8146,143,110,0.00,0.0000,28817.63,11527.05,959
145,1.000000,0,0.00,63.5787,129,88,0.00,0.0000,28815.11,11526.04,965
146,1.000000,0,0.00,64.0323,140,101,0.00,27.4446,28828.23,11531.29,946
147,0.999407,3,537.78,63.2724,137,97,90.36,6.7183,52724.52,11528.08,966
148,1.000000,0,0.00,63.3940,132,88,0.00,0.0000,28812.42,11524.97,923
149,1.000000,0,0.00,63.7061,144,93,0.00,0.0000,28823.01,11529.20,934
150,1.000000,0,0.00,63.5951,143,102,0.00,20.2039,28830.49,11532.20,944
151,1.000000,0,0.00,63.2322,126,93,0.00,0.0000,28835.69,11534.28,942
152,1.000000,0,0.00,64.6659,151,114,0.00,43.3567,21614.98,8645.99,909
153,1.000000,0,0.00,64.5748,175,127,0.00,0.0000,28825.04,11530.02,996
154,1.000000,0,0.00,62.8591,102,70,0.00,69.0283,21627.16,8650.86,917
155,1.000000,0,0.00,63.2030,132,97,0.00,0.0000,28818.71,11527.49,929
156,1.000000,0,0.00,64.5918,142,96,0.00,0.0000,28818.64,11527.45,932
157,1.000000,0,0.00,64.6772,164,121,0.00,4.9267,28823.71,11529.48,975
158,1.000000,0,0.00,62.9351,117,89,0.00,9.9035,21617.31,8646.92,911
159,1.000000,0,0.00,63.1973,141,95,0.00,0.0000,28836.22,11534.49,967
160,1.000000,0,0.00,64.2328,158,129,0.00,0.0000,28823.14,11529.25,954
161,1.000000,0,0.00,63.9547,147,109,0.00,0.0000,28827.49,11531.00,934
162,1.000000,0,0.00,64.1760,144,109,0.00,0.0000,28819.88,11527.95,950
163,1.000000,0,0.00,64.2643,144,106,0.00,0.0000,28838.66,11535.47,942
164,1.000000,0,0.00,64.0794,147,97,0.00,0.0000,28833.75,11533.50,970
165,1.000000,0,0.00,64.5381,163,118,0.00,0.0000,28837.99,11535.19,939
166,1.000000,0,0.00,66.1122,178,143,0.00,7.1780,28826.48,11530.59,971
167,1.000000,0,0.00,62.7404,117,74,0.00,0.0000,28833.85,11533.54,944
168,1.000000,0,0.00,63.9600,139,93,0.00,0.0000,28822.74,11529.10,946
169,1.000000,0,0.00,63.6175,123,96,0.00,0.0000,21618.92,8647.57,921
170,1.000000,0,0.00,63.7857,125,87,0.00,52.9607,28826.17,11530.47,941
171,1.000000,0,0.00,66.7473,198,160,0.00,0.0000,28828.42,11531.37,989
172,1.000000,0,0.00,62.7028,113,78,0.00,0.0000,21615.30,8646.12,917
173,1.000000,0,0.00,65.1496,163,104,0.00,0.0000,28825.17,11530.07,965
174,1.000000,0,0.00,64.8712,150,114,0.00,14.2035,28826.59,11530.63,938
175,0.998771,6,1114.71,63.3372,141,107,3.71,8.3638,71168.83,8647.93,952
176,1.000000,0,0.00,64.5940,145,108,0.00,33.4179,28823.62,11529.45,947
177,1.000000,0,0.00,64.8661,149,119,0.00,0.0000,28814.08,11525.63,954
178,1.000000,0,0.00,64.3134,135,103,0.00,0.0000,28836.03,11534.41,971
179,0.999338,3,600.16,64.9321,156,118,11.46,6.9997,55495.71,11527.43,955
180,0.998971,5,933.50,63.4220,143,100,50.03,6.9523,63116.38,8648.97,957
181,1.000000,0,0.00,63.4634,139,95,0.00,0.0000,28823.00,11529.20,961
182,1.000000,0,0.00,63.9178,156,117,0.00,34.4179,28817.65,11527.06,1009
183,1.000000,0,0.00,64.0256,142,108,0.00,0.0000,21615.64,8646.25,917
184,1.000000,0,0.00,64.0310,136,93,0.00,46.0246,28824.20,11529.68,950
185,1.000000,0,0.00,63.9616,153,112,0.00,0.0000,28833.35,11533.34,968
186,1.000000,0,0.00,63.3676,135,100,0.00,0.0000,21609.89,8643.96,917
187,1.000000,0,0.00,63.1339,141,104,0.00,0.0000,28815.61,11526.24,951
188,1.000000,0,0.00,64.4849,160,105,0.00,0.0000,28822.04,11528.82,962
189,1.000000,0,0.00,65.2138,181,121,0.00,0.0000,28828.39,11531.36,965
190,1.000000,0,0.00,64.0486,144,105,0.00,0.0000,28826.74,11530.70,966
191,1.000000,0,0.00,63.8669,141,106,0.00,0.0000,28821.54,11528.62,941
192,1.000000,0,0.00,63.3686,140,90,0.00,58.7373,21617.97,8647.19,926
193,1.000000,0,0.00,62.9656,121,96,0.00,0.0000,21610.94,8644.38,927
194,1.000000,0,0.00,64.7814,157,115,0.00,0.0000,28815.34,11526.14,974
195,1.000000,0,0.00,63.7145,139,87,0.00,0.0000,28820.01,11528.01,990
196,1.000000,0,0.00,63.3698,130,85,0.00,0.0000,28833.43,11533.37,936
197,1.000000,0,0.00,64.1148,142,107,0.00,0.0000,21623.97,8649.59,882
198,1.000000,0,0.00,65.2034,173,118,0.00,15.0191,28816.49,11526.59,991
199,1.000000,0,0.00,64.5508,151,97,0.00,40.5377,28844.70,11537.88,985
200,1.000000,0,0.00,62.7422,132,94,0.00,0.0000,28831.34,11532.53,963
201,1.000000,0,0.00,62.4552,132,86,0.00,0.0000,28823.08,11529.23,980
202,1.000000,0,0.00,63.2769,104,83,0.00,12.8816,28825.67,11530.27,934
203,0.998807,6,1082.32,61.8034,101,61,32.48,0.6432,69727.80,8647.53,967
204,1.000000,0,0.00,63.7004,122,82,0.00,0.0000,28821.73,11528.69,974
205,1.000000,0,0.00,63.5758,143,102,0.00,0.0000,21620.29,8648.11,914
206,1.000000,0,0.00,63.8688,144,108,0.00,40.2237,28835.10,11534.04,951
207,1.000000,0,0.00,64.1989,131,82,0.00,0.0000,21607.63,8643.05,914
208,1.000000,0,0.00,63.6198,123,76,0.00,37.7059,28824.76,11529.90,944
209,1.000000,0,0.00,64.0390,150,100,0.00,0.0000,28822.36,11528.94,957
210,1.000000,0,0.00,63.3066,133,104,0.00,0.0000,28830.54,11532.22,996
211,1.000000,0,0.00,64.6207,148,120,0.00,33.1761,21608.40,8643.36,930
212,1.000000,0,0.00,63.5173,129,94,0.00,0.0000,28833.53,11533.41,934
213,1.000000,0,0.00,62.4967,122,75,0.00,0.0000,28814.00,11525.60,974
214,0.998671,8,1205.97,64.1488,158,114,8.22,5.2209,75225.87,8648.15,965
215,1.000000,0,0.00,62.5339,111,81,0.00,0.0000,28827.88,11531.15,952
216,1.000000,0,0.00,62.7465,136,100,0.00,0.0000,28820.51,11528.21,954
217,1.000000,0,0.00,65.8037,169,119,0.00,0.0000,28834.20,11533.68,952
218,1.000000,0,0.00,63.9831,142,100,0.00,35.6217,28832.75,11533.10,984
219,0.998757,6,1127.28,63.0831,148,107,53.40,1.2207,71737.62,8652.03,1003
220,1.000000,0,0.00,62.0954,114,79,0.00,0.0000,28847.24,11538.89,971
221,1.000000,0,0.00,63.2651,117,76,0.00,0.0000,28831.24,11532.50,940
222,1.000000,0,0.00,63.1570,131,93,0.00,0.0000,28823.19,11529.27,930
223,1.000000,0,0.00,63.8954,121,84,0.00,68.9803,28805.96,11522.38,956
224,1.000000,0,0.00,63.4378,139,94,0.00,19.8769,28827.81,11531.13,938
225,1.000000,0,0.00,64.5703,150,110,0.00,0.0000,28831.14,11532.46,942
226,0.999206,4,720.20,63.8353,148,106,22.89,1.5266,53617.16,8641.76,997
227,1.000000,0,0.00,65.2988,180,143,0.00,0.0000,28810.96,11524.38,990
228,1.000000,0,0.00,63.5249,140,102,0.00,0.0000,28837.51,11535.00,936
229,1.000000,0,0.00,64.4878,151,107,0.00,0.0000,28848.73,11539.49,956
230,1.000000,0,0.00,64.8575,171,106,0.00,0.0000,28821.73,11528.69,970
231,1.000000,0,0.00,64.6189,154,125,0.00,30.0947,28838.57,11535.43,961
232,1.000000,0,0.00,62.2734,114,78,0.00,0.0000,21615.70,8646.28,930
233,1.000000,0,0.00,63.3528,128,90,0.00,0.0000,28833.55,11533.42,943
234,1.000000,0,0.00,62.8711,120,96,0.00,53.1980,28821.31,11528.52,955
235,0.999339,4,599.92,63.7082,143,103,51.70,1.8141,55507.86,11536.49,981
236,1.000000,0,0.00,63.0368,128,95,0.00,0.0000,28824.74,11529.90,993
237,1.000000,0,0.00,63.6448,138,101,0.00,0.0000,28820.84,11528.34,939
238,1.000000,0,0.00,63.9375,155,102,0.00,0.0000,28828.28,11531.31,939
239,1.000000,0,0.00,63.1624,135,89,0.00,22.4920,28829.10,11531.64,951
240,1.000000,0,0.00,64.4600,159,111,0.00,0.0000,28806.81,11522.72,982
241,1.000000,0,0.00,65.0456,157,118,0.00,0.0000,28820.59,11528.23,961
242,0.998348,8,1498.85,63.8792,135,110,13.45,2.9086,88227.59,8641.52,940
243,1.000000,0,0.00,65.2661,155,120,0.00,0.0000,21607.01,8642.81,901
244,1.000000,0,0.00,63.8439,135,95,0.00,55.5790,28819.51,11527.80,946
245,1.000000,0,0.00,63.0458,118,88,0.00,0.0000,28833.78,11533.51,929
246,1.000000,0,0.00,64.3559,134,95,0.00,0.0000,28812.08,11524.83,946
247,1.000000,0,0.00,64.4197,149,106,0.00,0.0000,28838.92,11535.57,958
248,0.999373,3,568.92,64.2448,143,97,53.93,1.5091,46902.47,8645.61,906
249,1.000000,0,0.00,63.3052,138,83,0.00,60.1102,28824.17,11529.67,988
250,1.000000,0,0.00,64.1007,130,83,0.00,28.6485,28840.74,11536.29,934
251,0.999209,4,717.94,63.2974,139,99,45.73,33.8247,53530.44,8647.26,949
252,1.000000,0,0.00,64.8339,156,106,0.00,0.0000,28830.81,11532.32,955
253,1.000000,0,0.00,63.3023,156,111,0.00,0.0000,28822.80,11529.12,1003
254,1.000000,0,0.00,63.0798,132,88,0.00,15.3642,28831.78,11532.71,965
255,1.000000,0,0.00,64.0747,160,118,0.00,0.0000,28818.51,11527.40,964
256,1.000000,0,0.00,64.9415,157,110,0.00,0.0000,28840.10,11536.04,945
257,0.999838,1,147.15,64.5687,158,124,147.15,4.4353,35382.02,11536.48,950
258,1.000000,0,0.00,63.2063,152,102,0.00,0.0000,28833.07,11533.23,997
259,1.000000,0,0.00,63.7436,132,101,0.00,0.0000,28843.66,11537.46,952
260,1.000000,0,0.00,63.2884,140,96,0.00,0.0000,28831.70,11532.68,945
261,1.000000,0,0.00,62.8743,122,89,0.00,0.0000,21601.55,8640.62,893
262,1.000000,0,0.00,62.7965,124,79,0.00,13.6873,28826.93,11530.77,936
263,0.999231,4,697.71,63.3893,127,92,25.32,49.1907,52629.56,8646.58,956
264,1.000000,0,0.00,63.8449,131,99,0.00,0.0000,21627.77,8651.11,921
265,1.000000,0,0.00,64.9755,166,106,0.00,39.8059,28841.30,11536.52,971
266,1.000000,0,0.00,67.1290,204,145,0.00,47.6222,28818.39,11527.36,963
267,1.000000,0,0.00,64.3391,154,111,0.00,0.0000,28838.69,11535.48,951
268,1.000000,0,0.00,63.4727,144,102,0.00,0.0000,21610.55,8644.22,917
269,1.000000,0,0.00,64.1497,151,111,0.00,0.0000,28818.65,11527.46,922
270,1.000000,0,0.00,64.0200,129,89,0.00,6.5664,21621.95,8648.78,882
271,1.000000,0,0.00,64.1114,146,106,0.00,0.0000,28821.06,11528.42,954
272,1.000000,0,0.00,64.0838,135,90,0.00,0.0000,28831.74,11532.69,939
273,1.000000,0,0.00,63.6583,149,109,0.00,38.2546,28826.83,11530.73,970
274,1.000000,0,0.00,62.5626,119,80,0.00,13.9857,28832.09,11532.83,952
275,0.999221,4,707.09,62.8808,133,89,24.72,10.1704,53040.68,8644.16,925
276,1.000000,0,0.00,62.8763,132,101,0.00,0.0000,28820.42,11528.17,977
277,1.000000,0,0.00,63.3260,132,96,0.00,0.0000,28831.79,11532.71,944
278,1.000000,0,0.00,63.5119,143,101,0.00,0.0000,28823.88,11529.55,946
279,1.000000,0,0.00,65.4381,139,102,0.00,0.0000,21613.07,8645.23,918
280,1.000000,0,0.00,63.9372,139,97,0.00,0.0000,21615.81,8646.33,895
281,1.000000,0,0.00,61.9835,117,75,0.00,0.0000,28822.77,11529.11,937
282,1.000000,0,0.00,64.2279,140,108,0.00,0.0000,28821.48,11528.59,940
283,1.000000,0,0.00,64.6174,143,101,0.00,0.0000,28833.15,11533.26,943
284,1.000000,0,0.00,63.5398,154,109,0.00,0.0000,28809.64,11523.86,1021
285,1.000000,0,0.00,63.5749,135,99,0.00,8.8179,28833.57,11533.43,1031
286,1.000000,0,0.00,63.3540,131,87,0.00,0.0000,28810.80,11524.32,919
287,1.000000,0,0.00,66.4607,190,155,0.00,0.0000,28829.78,11531.91,987
288,1.000000,0,0.00,64.2767,154,108,0.00,0.0000,28835.30,11534.12,926
289,1.000000,0,0.00,64.1210,133,104,0.00,0.0000,28832.96,11533.18,923
290,1.000000,0,0.00,64.6577,159,113,0.00,0.0000,28830.28,11532.11,948
291,1.000000,0,0.00,64.1144,170,118,0.00,0.0000,28818.56,11527.42,955
292,1.000000,0,0.00,63.5853,153,94,0.00,16.7162,28835.10,11534.04,945
293,1.000000,0,0.00,64.0573,128,99,0.00,0.0000,21629.35,8651.74,896
294,1.000000,0,0.00,64.5195,156,102,0.00,33.1750,28833.48,11533.39,940
295,0.998757,6,1127.51,62.1952,125,76,6.06,11.7692,71740.61,8649.10,935
296,1.000000,0,0.00,64.1246,145,94,0.00,0.0000,28824.21,11529.68,963
297,1.000000,0,0.00,63.6039,136,102,0.00,0.0000,21610.59,8644.23,932
298,1.000000,0,0.00,63.7194,137,96,0.00,10.6988,28842.06,11536.82,957
299,1.000000,0,0.00,64.4460,156,109,0.00,0.0000,28828.37,11531.35,1008
300,1.000000,0,0.00,63.7116,137,105,0.00,16.2138,28811.50,11524.60,927
301,1.000000,0,0.00,65.1909,163,111,0.00,41.9223,28836.98,11534.79,942
302,1.000000,0,0.00,63.1758,130,92,0.00,0.0000,28827.15,11530.86,931
303,1.000000,0,0.00,62.1536,112,80,0.00,21.1556,28819.27,11527.71,967
304,1.000000,0,0.00,63.8302,148,103,0.00,31.1050,28821.21,11528.48,939
305,0.998750,6,1133.68,63.9595,145,90,94.16,1.9420,72015.03,8649.14,927
306,1.000000,0,0.00,64.7547,170,129,0.00,0.0000,28834.38,11533.75,1025
307,1.000000,0,0.00,64.5613,163,126,0.00,0.0000,28825.09,11530.04,974
308,1.000000,0,0.00,63.9738,138,98,0.00,0.0000,28842.64,11537.06,950
309,1.000000,0,0.00,63.9108,136,95,0.00,0.0000,21630.30,8652.12,900
310,1.000000,0,0.00,64.1007,149,100,0.00,0.0000,28820.94,11528.38,967
311,1.000000,0,0.00,62.6627,127,90,0.00,54.0514,28838.43,11535.37,945
312,1.000000,0,0.00,66.1976,160,109,0.00,0.0000,28834.86,11533.94,955
313,1.000000,0,0.00,64.3632,141,98,0.00,0.0000,21629.15,8651.66,909
314,1.000000,0,0.00,65.5143,171,117,0.00,0.0000,28824.76,11529.90,944
315,1.000000,0,0.00,63.7975,150,109,0.00,0.0000,28835.57,11534.23,952
316,1.000000,0,0.00,62.9145,129,93,0.00,0.0000,28827.38,11530.95,985
317,1.000000,0,0.00,64.0326,145,102,0.00,16.6141,28826.22,11530.49,944
318,1.000000,0,0.00,64.3125,143,105,0.00,0.0000,28839.65,11535.86,988
319,0.998963,5,940.60,63.6861,133,89,27.48,22.1902,63437.10,8650.93,944
320,1.000000,0,0.00,64.7965,159,115,0.00,33.6411,28816.89,11526.76,933
321,1.000000,0,0.00,63.1488,138,98,0.00,35.7957,28833.98,11533.59,1017
322,1.000000,0,0.00,63.9255,133,86,0.00,0.0000,28827.55,11531.02,950
